"item_id";"company_id";"part_number";"name";"description";"barcode";"location_room";"location_row";"location_column";"location_shelf";"category_id";"current_quantity";"available_quantity";"recommended_lowest_quantity";"recommended_highest_quantity";"remarks";"active";"image_url";"sale_price";"factory_due_date";"suppliers_id";"fits_in_model";"created";"modified";"deleted";
"3888";"0";"9011182";"Cover of bottom basket";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3889";"0";"9011184";"Upper drawer";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3890";"0";"9011539";"Tank frontal part 38  PA4.01.02.201";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3891";"0";"9011543";"Central frontage PA5.02.02.101";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3892";"0";"9011553";"Tank frontal part 47 PA5.01.02.201";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3893";"0";"9011554";"Bottom 47 PA5.03.01.101";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3894";"0";"9011555";"Housing 47 PA5.02.01.101";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3895";"0";"9011556";"Service frontage PA5.02.02.102";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3896";"0";"9011616";"Lift cover";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3897";"0";"9011921";"Control panel";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3898";"0";"9012159";"Heighten sockle - (900mm)";"CN";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3899";"0";"9012410";"Ovenburner unit";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3900";"0";"9012619";"Burner of oven unit";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3901";"0";"9012620";"Oven burner sub-unit";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
"3902";"0";"9012649";"Upper decorative strip";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"0.0";"0.0";"0.0";"0.0";"NULL";"1";"NULL";"0.0";"0000-00-00";"0";"NULL";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";
