Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
qrb1b,siemensqrb1b photocell,2,,,,,qrb1b,,28 January 2016,6.00,1.20,7.20,14.4,32
0.4080'sf,danfoss nozzle,2,,,,,0.4080'sf,,28 January 2016,10.00,2.00,12.00,24,32
r2625,nuway aga monoblock electrode,2,,,,,r2625,,28 January 2016,22.00,4.40,26.40,52.8,32
y15,twisted glass yarn 6mm,1,,,,,y15,,28 January 2016,2.00,0.40,2.40,2.4,32
y21,braided glass yarn 10mm,1,,,,,y21,,28 January 2016,3.50,0.70,4.20,4.2,32
y23,braided glass yarn 12mm,1,,,,,y23,,28 January 2016,5.00,1.00,6.00,6,32
r3798,gasket head/duct,6,,,,,r3798,,28 January 2016,3.60,0.72,4.32,25.92,32
0.6580's,danfoss nozzle,4,,,,,0.6580's,,28 January 2016,3.85,0.77,4.62,18.48,32
0.4080'sf,danfoss nozzle,4,,,,,0.4080'sf,,28 January 2016,4.50,0.90,5.40,21.6,32
0.5580's,danfoss nozzle,2,,,,,0.5580's,,28 January 2016,3.85,0.77,4.62,9.24,32
qrld-f,photocell mounting flange,2,,,,,qrld-f,,28 January 2016,1.15,0.23,1.38,2.76,32
lyv4301bp,lyvia 230w  class linea,1,,,,,lyv4301bp,,10 February 2016,0.82,0.16,0.98,0.98,6
grj503169,drum paddle lifter,5,,,,,grj503169,,10 February 2016,7.98,1.60,9.58,47.9,6
bel082590800,energy regulator single,2,,,,,bel082590800,,11 February 2016,8.60,1.72,10.32,20.64,18
bsh660868,door seal gasket fastening,2,,,,,bsh660868,,11 February 2016,5.40,1.08,6.48,12.96,18
hptc00197976,carbon brush set laminate,3,,,,,hptc00197976,,11 February 2016,3.49,0.70,4.19,12.57,18
mfi651066393,evaporator handle catch,3,,,,,mfi651066393,,11 February 2016,4.37,0.87,5.24,15.72,18
quaint51,door interlock hotpoint,2,,,,,quaint51,,11 February 2016,1.99,0.40,2.39,4.78,18
oad-01,vapour burner fuel additive,5,,,,,oad-01,,15 February 2016,7.50,1.50,9.00,45,32
r2502-u,pump overrun stat,1,,,,,r2502-u,,15 February 2016,13.00,2.60,15.60,15.6,32
pcs,cylinder/pipe thermostat 20-90*c,1,,,,,pcs,,15 February 2016,7.50,1.50,9.00,9,32
0.50.60's,danfoss nozzle,2,,,,,0.50.60's,,15 February 2016,3.85,0.77,4.62,9.24,32
0.5580's,danfoss nozzle,2,,,,,0.5580's,,15 February 2016,3.85,0.77,4.62,9.24,32
0.6580's,danfoss nozzle,2,,,,,0.6580's,,15 February 2016,3.85,0.77,4.62,9.24,32
0.8580's,danfoss nozzle,2,,,,,0.8580's,,15 February 2016,3.85,0.77,4.62,9.24,32
